Species,Weight_of_Fish_in_Gram,Diagonal_Length_in_cm,Vertical_Length_in_cm,Cross_Length_in_cm,Height_in_cm,Diagonal_Width_in_cm
Parkki,243.8,25.4,23.2,30,11.52,4.02
Parkki,287.2,26.3,24,31.2,12.48,4.3056
Parkki,341.5,26.5,23.9,31.1,12.3778,4.6961
Parkki,365.9,29,26.3,33.5,12.73,4.4555
Parkki,431.4,29,26.5,34,12.444,5.134
Parkki,391.3,30,27.6,35,12.67,4.69
Parkki,449.9,30,27.6,35.1,14.0049,4.8438
Parkki,475.6,31,28.4,36.2,14.2628,5.1042
Parkki,499.8,31,28.7,36.2,14.3714,4.8146
Parkki,498,31.5,29.1,36.4,13.7592,4.368
Parkki,339.3,32,29.5,37.3,13.9129,5.0728
Parkki,602.9,32,29.4,37.2,15.438,5.58
Parkki,702.4,33,30.4,38.3,14.8604,5.2854
Parkki,699.8,33,30.4,38.5,14.938,5.1975
Parkki,651.5,33.5,31,38.7,14.4738,5.7276
Parkki,572.1,34,31.3,39.5,15.1285,5.5695
Parkki,683.4,34,31.4,39.2,15.9936,5.3704
Parkki,678.3,35,31.8,40.6,15.4686,6.1306
Parkki,718.9,35,32,40.6,16.3618,6.09
Parkki,714.9,36,32.7,41.5,16.517,5.8515
Parkki,847.6,36,32.8,41.6,16.8896,6.1984
Parkki,1002.8,37,33.5,42.6,18.957,6.603
Parkki,918.1,38.5,35,44.1,18.0369,6.3063
Parkki,954.2,38.5,35,44,18.084,6.292
Parkki,972.8,41,37.4,45.9,18.6354,6.7473
Parkki,947,41,38,46.5,17.6235,6.3705
Pike,37.5,14.1,12.9,16.2,4.1472,2.268
Pike,66.1,18.2,16.5,20.3,5.2983,2.8217
Pike,78,18.8,17.5,21.2,5.5756,2.9044
Pike,87.4,19.8,18.2,22.2,5.6166,3.1746
Pike,120.9,20,18.6,22.2,6.216,3.5742
Pike,0,20.5,19,22.8,6.4752,3.3516
Pike,107.5,20.8,19.1,23.1,6.1677,3.3957
Pike,119.4,21,19.4,23.7,6.1146,3.2943
Pike,152.1,22,20.4,24.7,5.8045,3.7544
Pike,143.8,22,20.5,24.3,6.6339,3.5478
Pike,159.1,22.5,20.5,25.3,7.0334,3.8203
Pike,141.5,22.5,21,25,6.55,3.325
Pike,159.9,22.5,21.1,25,6.4,3.8
Pike,169.5,24,22,27.2,7.5344,3.8352
Pike,158.1,23.4,22,26.7,6.9153,3.6312
Pike,201.2,23.5,22.1,26.8,7.3968,4.1272
Pike,178.2,25.2,23.6,27.9,7.0866,3.906
Pike,289.3,26,24,29.2,8.8768,4.4968
Pike,273.7,27,25,30.6,8.568,4.7736
Pike,389.8,31.7,29.5,35,9.485,5.355
Whitefish,270.4,26,23.6,28.7,8.3804,4.2476
Whitefish,272.2,26.5,24.1,29.3,8.1454,4.2485
Whitefish,305.4,28,25.6,30.8,8.778,4.6816
Whitefish,540.9,31,28.5,34,10.744,6.562
Whitefish,797.1,36.4,33.7,39.6,11.7612,6.5736
Whitefish,1000.4,40,37.3,43.5,12.354,6.525
Bream,56.6,14.7,13.5,16.5,6.8475,2.3265
Bream,57.3,15.5,14.3,17.4,6.5772,2.3142
Bream,90,17.7,16.3,19.8,7.4052,2.673
Bream,121.9,19,17.5,21.3,8.3922,2.9181
Bream,149.4,20,18.4,22.4,8.8928,3.2928
Bream,140.4,20.7,19,23.2,8.5376,3.2944
Bream,169.9,20.7,19,23.2,9.396,3.4104
Bream,142.5,21.5,19.8,24.1,9.7364,3.1571
Bream,199.9,23,21.2,25.8,10.3458,3.6636
Bream,275.6,25,23,28,11.088,4.144
Bream,299,26,24,29,11.368,4.234
Perch,6.1,8.4,7.5,8.8,2.112,1.408
Perch,34.4,13.7,12.5,14.7,3.528,1.9992
Perch,41.2,15,13.8,16,3.824,2.432
Perch,53.4,16.2,15,17.2,4.5924,2.6316
Perch,68.5,17.4,15.7,18.5,4.588,2.9415
Perch,99.5,18,16.2,19.2,5.2224,3.3216
Perch,77.3,18.7,16.8,19.4,5.1992,3.1234
Perch,80.4,19,17.2,20.2,5.6358,3.0502
Perch,83.1,19.6,17.8,20.8,5.1376,3.0368
Perch,86.3,20,18.2,21,5.082,2.772
Perch,109.5,21,19,22.5,5.6925,3.555
Perch,113,21,19,22.5,5.9175,3.3075
Perch,127.6,21,19,22.5,5.6925,3.6675
Perch,129.6,21.3,19.3,22.8,6.384,3.534
Perch,121.2,22,20,23.5,6.11,3.4075
Perch,119,22,20,23.5,5.64,3.525
Perch,131.1,22,20,23.5,6.11,3.525
Perch,137,22,20,23.5,5.875,3.525
Perch,112.8,22,20,23.5,5.5225,3.995
Perch,127.5,22.5,20.5,24,5.856,3.624
Perch,152.7,22.5,20.5,24,6.792,3.624
Perch,143,22.7,20.7,24.2,5.9532,3.63
Perch,148.1,23,21,24.5,5.2185,3.626
Perch,172.3,23.5,21.5,25,6.275,3.725
Perch,223.2,24,22,25.5,7.293,3.723
Perch,147.7,24,22,25.5,6.375,3.825
Perch,185.3,24.6,22.6,26.2,6.7334,4.1658
Perch,178,25,23,26.5,6.4395,3.6835
Perch,197.7,25.6,23.5,27,6.561,4.239
Perch,217,26.5,25,28,7.168,4.144
Perch,300.1,27.3,25.2,28.7,8.323,5.1373
Perch,261.3,27.5,25.4,28.9,7.1672,4.335
Perch,263.3,27.5,25.4,28.9,7.0516,4.335
Perch,251.8,27.5,25.4,28.9,7.2828,4.5662
Perch,251.3,28,25.9,29.4,7.8204,4.2042
Perch,301.7,28.7,26.9,30.1,7.5852,4.6354
Perch,319.2,30,27.8,31.6,7.6156,4.7716
Perch,515.8,32.8,30.5,34,10.03,6.018
Perch,558.1,34.5,32,36.5,10.2565,6.3875
Perch,840.8,35,32.5,37.3,11.4884,7.7957
Perch,687.9,36.5,34,39,10.881,6.864
Perch,701.9,36,34,38.3,10.6091,6.7408
Perch,702.8,37,34.5,39.4,10.835,6.2646
Perch,689.5,37,34.6,39.3,10.5717,6.3666
Perch,901.8,39,36.5,41.4,11.1366,7.4934
Perch,650.8,39,36.5,41.4,11.1366,6.003
Perch,821.5,39,36.6,41.3,12.4313,7.3514
Perch,851.8,40,36.9,42.3,11.9286,7.1064
Perch,902.3,40,37,42.5,11.73,7.225
Perch,1015.4,40,37,42.4,12.3808,7.4624
Perch,817.7,40,37.1,42.5,11.135,6.63
Perch,1099.8,42,39,44.6,12.8002,6.8684
Perch,997.6,43,39.8,45.2,11.9328,7.2772
Perch,1100.6,43,40.1,45.5,12.5125,7.4165
Perch,997.5,43.5,40.2,46,12.604,8.142
Perch,997.8,44,41.1,46.6,12.4888,7.5958
Roach,201.5,32.3,30,34.8,5.568,3.3756
Roach,299.2,34,31.7,37.8,5.7078,4.158
Roach,300.7,35,32.7,38.8,5.9364,4.3844
Roach,298.2,37.3,34.8,39.8,6.2884,4.0198
Roach,427.2,38,35.5,40.5,7.29,4.5765
Roach,347.2,38.5,36,41,6.396,3.977
Roach,456.9,42.5,40,45.5,7.28,4.3225
Roach,508.3,42.5,40,45.5,6.825,4.459
Roach,539.1,43,40.1,45.8,7.786,5.1296
Roach,501.2,45,42,48,6.96,4.896
Roach,566.1,46,43.2,48.7,7.792,4.87
Roach,770.4,48,44.8,51.2,7.68,5.376
Roach,951.7,51.7,48.3,55.1,8.9262,6.1712
Roach,1250.2,56,52,59.7,10.6863,6.9849
Roach,1602.8,60,56,64,9.6,6.144
Roach,1548.8,60,56,64,9.6,6.144
Roach,1650.2,63.4,59,68,10.812,7.48
Smelt,4,9.8,9.3,10.8,1.7388,1.0476
Smelt,9.5,10.5,10,11.6,1.972,1.16
Smelt,5.9,10.6,10.1,11.6,1.7284,1.1484
Smelt,10.7,11,10.4,12,2.196,1.38
Smelt,8.6,11.2,10.7,12.4,2.0832,1.2772
Smelt,5.8,11.3,10.8,12.6,1.9782,1.2852
Smelt,10.4,11.8,11.3,13.1,2.2139,1.2838
Smelt,12.7,11.8,11.3,13.1,2.2139,1.1659
Smelt,11.7,12,11.4,13.2,2.2044,1.1484
Smelt,14.7,12.2,11.5,13.4,2.0904,1.3936
Smelt,10.8,12.4,11.7,13.5,2.43,1.269
Smelt,9.2,13,12.1,13.8,2.277,1.2558
Smelt,21.7,14.3,13.2,15.2,2.8728,2.0672
Smelt,20.6,15,13.8,16.2,2.9322,1.8792
